journal,esi_field,p_value,p_use,p_reporting,significance,stat_sig_use,stat_sig_reporting,conf_int,conf_int_use,conf_int_reporting,effect_size,effect_size_use,effect_size_reporting,sample_size,sample_size_use,bayes,bayes_use
Lancet Diabetes & Endocrinology,CLINICAL MEDICINE,"p values should be given to two significant figures, unless p<0.0001",Implicit endorsement,Exact unless very small,NA,No guidance,No guidance,"For intervention studies, the abstract should include the primary outcome expressed as the difference between groups with a confidence interval on that difference (absolute differences are more useful than relative ones).",Explicit endorsement,No guidance,"For intervention studies, the abstract should include the primary outcome expressed as the difference between groups with a confidence interval on that difference (absolute differences are more useful than relative ones).",Explicit endorsement,No guidance,NA,No guidance,NA,No guidance
LANCET NEUROLOGY,NEUROSCIENCE & BEHAVIOR,"p values should be given to two significant figures, unless p<0.0001",Implicit endorsement,Exact unless very small,NA,No guidance,No guidance,"For intervention studies, the abstract should include the primary outcome expressed as the difference between groups with a confidence interval on that difference (absolute differences are more useful than relative ones).",Explicit endorsement,No guidance,"For intervention studies, the abstract should include the primary outcome expressed as the difference between groups",Explicit endorsement,No guidance,NA,No guidance,NA,No guidance
LANCET ONCOLOGY,CLINICAL MEDICINE,"p values should be given to two significant figures, unless p<0.0001",Implicit endorsement,Exact unless very small,NA,No guidance,No guidance,"For intervention studies, the abstract should include the primary outcome expressed as the difference between groups with a confidence interval on that difference (absolute differences are more useful than relative ones). Secondary outcomes can be included as long as they are clearly marked as secondary and all such outcomes are reported.",Explicit endorsement,No guidance,"For intervention studies, the abstract should include the primary outcome expressed as the difference between groups",Explicit endorsement,No guidance,NA,No guidance,NA,No guidance
LANCET INFECTIOUS DISEASES,IMMUNOLOGY,"p values should be given to two significant figures, unless p<0.0001",Implicit endorsement,Exact unless very small,NA,No guidance,No guidance,"For intervention studies, the abstract should include the primary outcome expressed as the difference between groups with a confidence interval on that difference (absolute differences are
more useful than relative ones). Secondary outcomes can be included as long as they are clearly marked as secondary and all such outcomes are reported",Explicit endorsement,No guidance,"For intervention studies, the abstract should include the primary outcome expressed as the difference between groups with a confidence interval on that difference (absolute differences are
more useful than relative ones). Secondary outcomes can be included as long as they are clearly marked as secondary and all such outcomes are reported",Explicit endorsement,No guidance,NA,No guidance,NA,No guidance
Lancet HIV,IMMUNOLOGY,"p values should be given to two significant figures, unless p<0.0001",Implicit endorsement,Exact unless very small,NA,No guidance,No guidance,"For intervention studies, the abstract should include the primary outcome expressed as the difference between groups with a confidence interval on that difference (absolute differences are
more useful than relative ones). Secondary outcomes can be included as long as they are clearly marked as secondary and all such outcomes are reported",Explicit endorsement,No guidance,"For intervention studies, the abstract should include the primary outcome expressed as the difference between groups with a confidence interval on that difference (absolute differences are
more useful than relative ones). Secondary outcomes can be included as long as they are clearly marked as secondary and all such outcomes are reported",Explicit endorsement,No guidance,NA,No guidance,NA,No guidance
Lancet Respiratory Medicine,CLINICAL MEDICINE,"p values should be given to two significant figures, unless p<0·0001",Implicit endorsement,Exact unless very small,NA,No guidance,No guidance,"For intervention studies, the abstract should include the primary outcome expressed as the difference between groups with a confidence interval on that difference (absolute differences are more useful than relative ones). Secondary outcomes can be included as long as they are clearly marked as secondary and all such outcomes are reported",Explicit endorsement,No guidance,"For intervention studies, the abstract should include the primary outcome expressed as the difference between groups with a confidence interval on that difference (absolute differences are more useful than relative ones). Secondary outcomes can be included as long as they are clearly marked as secondary and all such outcomes are reported",Explicit endorsement,No guidance,NA,No guidance,NA,No guidance
Lancet Psychiatry,PSYCHIATRY_PSYCHOLOGY,"p values should be given to two significant figures, unless p<0·0001",Implicit endorsement,Exact unless very small,NA,No guidance,No guidance,"For intervention studies, the abstract should include the primary outcome expressed as the difference between groups with a confidence interval on that difference (absolute differences are more useful than relative ones).",Explicit endorsement,No guidance,"For intervention studies, the abstract should include the primary outcome expressed as the difference between groups with a confidence interval on that difference (absolute differences are more useful than relative ones).",Explicit endorsement,No guidance,NA,No guidance,NA,No guidance
PLoS One,Multidisciplinary,"P-values. Report exact p-values for all values greater than or equal to 0.001. P-values less than 0.001 may be expressed as p < 0.001, or as exponentials in studies of genetic associations...Regression analyses. Include the full results of any regression analysis performed as a supplementary file. Include all estimated regression coefficients, their standard error, p-values, and confidence intervals, as well as the measures of goodness of fit.",Implicit endorsement,Exact unless very small,Define the threshold for significance (alpha),Explicit endorsement,Report alpha,"Effect sizes and confidence intervals should be reported where appropriate. ...Properties of distribution. It should be clear from the text which measures of variance (standard deviation, standard error of the mean, confidence intervals) and central tendency (mean, median) are being presented...Regression analyses. Include the full results of any regression analysis performed as a supplementary file. Include all estimated regression coefficients, their standard error, p-values, and confidence intervals, as well as the measures of goodness of fit.",Explicit endorsement,No guidance,Effect sizes and confidence intervals should be reported where appropriate.,Explicit endorsement,No guidance,"f appropriate, provide sample sizes, along with a description of how they were determined. If a sample size calculation was performed, specify the inputs for power, effect size and alpha. Where relevant, report the number of independent replications for each experiment.",Explicit endorsement,For Bayesian analysis explain the choice of prior trial probabilities and how they were selected. Markov chain Monte Carlo settings should be reported.,Implicit endorsement
EUROPEAN HEART JOURNAL,CLINICAL MEDICINE,"Presentation of p-values: always give numeric value not just ns (p=0.14 and not ns for example). Give one leading digit for the p-values and in the case of very small p-values give p<0.0001.

Comparison of p-values: refrain from comparing the size of p-values when, for example, assessing differences for various groups. This needs some extra-testing.",Implicit endorsement,Exact unless very small,"Please specify the program used, the significance level, and that it is two-sided (which is the rule).

Proving significance of an association – even in a quite complicated model – does not imply causality of the relationship.

Statistical tests offer a rational decision in case of uncertainty. This probabilistic statement is possible only at the price of formality. If your descriptive analysis is in favour of your hypothesis, but the p-value is not significant, you could not prove your case and you should concede this. Even with a p-value 0.05

There are several points to consider:...

p-value is not significant: if the p-value does not reach significance, this is not proof that the scientific hypothesis is not correct. Other factors such as sample size, frequency of the given event or the relative effect size may explain the lack of statistical significance. Whenever a power calculation has been done, a probabilistic statement about the lack of effect can be made.

Significance vs. relevance: a statistically significant result does not imply clinical or scientific relevance even if the p-value is very low. This relevance is a subject-matter decision. In addition to significant p-values it is advisable to give a measure of effect size, in particular for large studies, where effects with little relevance may become statistically significant. The boundaries of a confidence interval may also be useful to assess relevance of potential effects.",Implicit endorsement,Report alpha,"Report only the relevant correlations, accompanied by a confidence interval.

Confidence intervals: the main results always need a confidence interval.

The boundaries of a confidence interval may also be useful to assess relevance of potential effects.",Explicit endorsement,No guidance,"In addition to significant p-values it is advisable to give a measure of effect size, in particular for large studies, where effects with little relevance may become statistically significant. The boundaries of a confidence interval may also be useful to assess relevance of potential effects.",Explicit endorsement,No guidance,"For clinical trials a power analysis to justify the number of subjects included is indispensable, but is also desirable for other studies. Exceptions are, for example, studies for rare diseases, where a rationale for the number of subjects is adequate. Post-hoc power analysis is to be avoided. For observational studies, the selection of subjects has to be carefully documented.",Explicit endorsement,NA,No guidance
BMJ-British Medical Journal,CLINICAL MEDICINE,"Provide specifics about the evidence you discuss. For
example, for key statements, please say: “A large, well
conducted, randomised controlled trial showed INSERT
number [CI] and or p value” ... P values should always be accompanied by supporting data",Implicit endorsement,Exact,"main results with    (for    quantitative    studies)      95%      confidence      intervals      and,      where      appropriate,   the   exact   level   of   statistical   significance... Please do not use the term ‘negative’ to describe studies that have not found statistically significant differences, perhaps because  they  were  too  small.  There  will  always  be  some  uncertainty, and we hope you will be as explicit as possible in  reporting  what  you  have  found  in  your  study.  Using  wording such as “our results are compatible with a decrease of  this  much  or  an  increase  of  this  much”  or  ‘this  study  found  no  effect’  is  more  accurate  and  helpful  to  readers  than  “there  was  no  effect/no  difference.”",Implicit endorsement,Report alpha,"main    results    with    (for    quantitative    studies)      95%      confidence      intervals      and,      where      appropriate,   the   exact   level   of   statistical   significance... Please include in the results section of your structured 
abstract (and in the article’s results section) the following 
terms, as appropriate:
For a clinical trial: ... NNT or NNH (number needed to treat or harm) and its 
95% confidence interval",Explicit endorsement,Report 95% Cis,NA,No guidance,No guidance,NA,No guidance,NA,No guidance
BRITISH JOURNAL OF PSYCHIATRY,PSYCHIATRY_PSYCHOLOGY,Quantitative studies: abstracts should provide effect sizes with confidence intervals (not P-values alone).,Implicit endorsement,No guidance,"To report a difference as being statistically significant is generally insufficient, and comment should be made about the magnitude and direction of change. 

The value of test statistics used (e.g. t, F-ratio) should be given as well as their significance levels so that their derivation can be understood
",Implicit endorsement,No guidance,Use of confidence intervals is encouraged but not mandatory. Quantitative studies: abstracts should provide effect sizes with confidence intervals (not P-values alone).,Explicit endorsement,No guidance,"Quantitative studies: abstracts should provide effect sizes with confidence intervals (not P-values alone). To report a difference as being statistically significant is generally insufficient, and comment should be made about the magnitude and direction of change.",Explicit endorsement,No guidance,Authors are encouraged to include estimates of statistical power where appropriate.,Explicit endorsement,NA,No guidance
eLife,BIOLOGY & BIOCHEMISTRY,"Report exact p-values wherever possible alongside the summary statistics and 95%
confidence intervals. These should be reported for all key questions and not only
when the p-value is less than 0.05.",Explicit endorsement,Exact,NA,No guidance,No guidance,"For each experiment, you should identify the statistical tests used, exact values of
N, definitions of center, methods of multiple test correction, and dispersion and
precision measures (e.g., mean, median, SD, SEM, confidence intervals; and, for the
major substantive results, a measure of effect size (e.g., Pearson's r, Cohen's d)

Report exact p-values wherever possible alongside the summary statistics and 95%
confidence intervals. These should be reported for all key questions and not only
when the p-value is less than 0.05.",Explicit endorsement,Report 95% Cis,"For each experiment, you should identify the statistical tests used, exact values of
N, definitions of center, methods of multiple test correction, and dispersion and
precision measures (e.g., mean, median, SD, SEM, confidence intervals; and, for the
major substantive results, a measure of effect size (e.g., Pearson's r, Cohen's d)",Explicit endorsement,No guidance,"Sample-size estimation - You should statewhether an appropriate sample size was computed when the study was being designed - You shouldstatethe statistical method of sample size computationand any required assumptions - If noexplicitpower analysis was used, you should describe how you decidedwhat sample (replicate) size(number) to use",Explicit endorsement,NA,No guidance
CIRCULATION,CLINICAL MEDICINE,Report Hardy-Weinberg statistics or p-values and method of calculating same.,Implicit endorsement,No guidance,NA,No guidance,No guidance,NA,No guidance,No guidance,NA,No guidance,No guidance,"studies should meet some or all of the criteria below...The sample size is adequate to detect a SNP or haplotype with a modest effect. For genotype-trait associations, provide an estimate of the effect size that could be detected with power 0.80 or higher with the allele frequency and sample size reported.",Explicit endorsement,NA,No guidance
Science Advances,Multidisciplinary,"Results of each statistical test should be reported in full with the value of the test statistic and P value, and not simply reported as significant or nonsignificant; more than two significant digits on Pvalues are usually not needed except in situations of extreme multiple testing, such as in genetic association studies where stringent corrections for multiple testing might be used.",Explicit endorsement,Exact,"Results of each statistical test should be reported in full with the value of the test statistic and P value, and not simply reported as significant or nonsignificant
...
The testing level (alpha) and whether one-sided or two-sided testing was used should be reported for each statistical test; typically two-sided testing is appropriate, but if one-sided testing is used, its use should be justified.",Implicit opposition,Report alpha,"Methods used for conducting statistical tests (e.g., t test, Wilcoxon signed-rank test, Wald test of regression coefficient) and for constructing confidence intervals (e.g., normal-based 95% CI: mean ± 2SD, likelihood ratio–based interval) should be clearly stated.
...
Point estimates of population parameters (e.g., mean, correlation coefficient, slope) or comparative measures (e.g., mean difference, odds ratio, hazard ratio) should be accompanied by a measure of uncertainty such as a standard error or a confidence interval.",Explicit endorsement,Report confidence level,"Point estimates of population parameters (e.g., mean, correlation coefficient, slope) or comparative measures (e.g., mean difference, odds ratio, hazard ratio) should be accompanied by a measure of uncertainty such as a standard error or a confidence interval.",Explicit endorsement,No guidance,"state how you have addressed each of these points (if applicable):

Sample size. How did you select your sample size? Did you use a power analysis to calculate the sample size necessary to achieve a reliable measurement of the effect? Did you alter this number during the course of the study and, if so, why?",Explicit endorsement,"When Bayesian analyses are conducted, any assumptions made for prior distributions must be fully described.",Implicit endorsement
SCIENCE,Multidisciplinary,"Results of each statistical test should be reported in full with the value of the test statistic and p-value, and not simply reported as significant or non-significant; more than two significant digits on p-values are usually not needed except in situations of extreme multiple testing such as in genetic association studies where stringent corrections for multiple testing might be used.",Explicit endorsement,Exact,"
The testing level (alpha) and whether one-sided or two-sided testing was used should be reported for each statistical test; typically two-sided testing is appropriate, but if one-sided testing is used its use should be justified...Results of each statistical test should be reported in full with the value of the test statistic and p-value, and not simply reported as significant or non-significant",Implicit opposition,Report alpha,"Point estimates of population parameters (e.g., mean, correlation coefficient, slope) or comparative measures (e.g., mean difference, odds ratio, hazard ratio) should be accompanied by a measure of uncertainty such as a standard error or a confidence interval.
Methods used for conducting statistical tests (e.g., t-test, Wilcoxon signed rank test, Wald test of regression coefficient) and for constructing confidence intervals (e.g., normal-based 95% CI: mean ± 2SD, likelihood ratio-based interval) should be clearly stated.",Explicit endorsement,Report confidence level,"Point estimates of population parameters (e.g., mean, correlation coefficient, slope) or comparative measures (e.g., mean difference, odds ratio, hazard ratio) should be accompanied by a measure of uncertainty such as a standard error or a confidence interval.",Explicit endorsement,No guidance,NA,No guidance,"When Bayesian analyses are conducted, any assumptions made for prior distributions must be fully described.",Implicit endorsement
STRATEGIC MANAGEMENT JOURNAL,ECONOMICS & BUSINESS,"SMJ no longer accepts papers for publication that report or refer to cutoff levels of statistical significance (p-values). In statistical studies, authors should report either standard errors or exact p-values (without asterisks) or both, and should interpret these values appropriately in the text. Rather than referring to specific cutoff points, the discussion could report confidence intervals, explain the standard errors and/or the probability of observing the results in the particular sample, and assess the implications for the research questions or hypotheses tested.
...
The SMJ editorial on “Creating Repeatable Cumulative Knowledge in Strategic Management” (2016, vol. 37: 257-261) provides more detailed explanation of these policies.",Implicit endorsement,Exact,"SMJ no longer accepts papers for publication that report or refer to cutoff levels of statistical significance (p-values). In statistical studies, authors should report either standard errors or exact p-values (without asterisks) or both, and should interpret these values appropriately in the text. Rather than referring to specific cutoff points, the discussion could report confidence intervals, explain the standard errors and/or the probability of observing the results in the particular sample, and assess the implications for the research questions or hypotheses tested.
...
Data Snooping and P-hacking
SMJ strongly disapproves of data snooping and p-hacking practices in empirical research. Authors of submitted papers should not search databases for statistically significant coefficients with the intention of subsequently formulating hypotheses that fit the significant coefficients. Authors also should not adapt experimental designs with the primary intention of producing statistically significant results. In addition, authors of submitted papers should address the material significance (magnitude) of the results, in addition to statistical significance.",Explicit opposition,No guidance,"Rather than referring to specific cutoff points, the discussion could report confidence intervals, explain the standard errors and/or the probability of observing the results in the particular sample, and assess the implications for the research questions or hypotheses tested.",Implicit endorsement,No guidance,"SMJ also requires in papers accepted for publication that authors explicitly discuss and interpret effect sizes of relevant estimated coefficients.
In addition, authors of submitted papers should address the material significance (magnitude) of the results, in addition to statistical significance.",Explicit endorsement,No guidance,NA,No guidance,NA,No guidance
JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,PSYCHIATRY_PSYCHOLOGY,"Summarize statistics, and when reporting significant results, include the statistical test used, the value of the test statistic, degrees of freedom, and p values.",Implicit endorsement,Exact,"Summarize statistics, and when reporting significant results, include the statistical test used, the value of the test statistic, degrees of freedom, and p values.

Abstracts should provide ...main findings (giving specific effect sizes, numerical differences, and their statistical significance, if possible)",Implicit endorsement,No guidance,"When appropriate, report effect sizes and/or confidence intervals on the main findings.",Explicit endorsement,No guidance,"When appropriate, report effect sizes and/or confidence intervals on the main findings.",Explicit endorsement,No guidance,Inclusion of determination of sample size (include power calculation).,Explicit endorsement,NA,No guidance
MOLECULAR ECOLOGY,ENVIRONMENT_ECOLOGY,"Tables - symbols  *, **, *** should be reserved for P-values",Implicit endorsement,"Thresholds [0.05, 0.01, 0.001]",NA,No guidance,No guidance,NA,No guidance,No guidance,NA,No guidance,No guidance,NA,No guidance,NA,No guidance
ALLERGY,IMMUNOLOGY,"Tables - symbols  *, **, *** should be reserved for P-values",Implicit endorsement,"Thresholds [0.05, 0.01, 0.001]",NA,No guidance,No guidance,NA,No guidance,No guidance,NA,No guidance,No guidance,NA,No guidance,NA,No guidance
EMBO JOURNAL,MOLECULAR BIOLOGY & GENETICS,"The description of all reported data that includes statistical testing must state the name of the statistical test used to generate error bars and P values, the number (n) of independent experiments underlying each data point (not replicate measures of one sample), and the actual P value for each test (not merely 'significant' or 'P < 0.05'). Discussion of statistical methodology can be reported in the materials and methods section, but figure legends should contain a basic description of n, P and the test applied.",Implicit endorsement,Exact,"Since for complex biological experiments the number of independent repeats of a measurement often has to be limited for practical reasons, statistical measures with a very small n are commonplace. However, statistical measures applied to too small a sample size are not significant and they can suggest a false level of significance. We recommend that the actual individual data from each experiment should be plotted if n < 5, alongside an error bar. In cases where n is small, a justification for the use of the statistical test employed has to be provided.",Implicit endorsement,No guidance,"Descriptive statistics should include a clearly labelled measure of centre (such as the mean or the median), and a clearly labelled measure of variability (such as standard deviation or range). Ranges are more appropriate than standard deviations or standard errors for small data sets. Standard error or confidence interval is appropriate to compare data to a control.",Explicit endorsement,No guidance,NA,No guidance,No guidance,NA,No guidance,NA,No guidance
Expert Opinion on Drug Delivery,PHARMACOLOGY & TOXICOLOGY,"The sample size of each data point should be shown, with p-values and confidence intervals quoted for significant findings.",Implicit endorsement,Exact,"The sample size of each data point should be shown, with p-values and confidence intervals quoted for significant findings.",Implicit endorsement,No guidance,"The sample size of each data point should be shown, with p-values and confidence intervals quoted for significant findings.",Explicit endorsement,No guidance,NA,No guidance,No guidance,NA,No guidance,NA,No guidance
Nature Plants,PLANT & ANIMAL SCIENCE,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],Implicit endorsement,Exact,NA,No guidance,No guidance,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",Explicit endorsement,No guidance,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",Explicit endorsement,No guidance,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",Explicit endorsement,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",Implicit endorsement
Light-Science & Applications,PHYSICS,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],Implicit endorsement,Exact,NA,No guidance,No guidance,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",Explicit endorsement,No guidance,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",Explicit endorsement,No guidance,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",Explicit endorsement,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",Implicit endorsement
Nature Physics,PHYSICS,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],Implicit endorsement,Exact,NA,No guidance,No guidance,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",Explicit endorsement,No guidance,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",Explicit endorsement,No guidance,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",Explicit endorsement,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",Implicit endorsement
MOLECULAR PSYCHIATRY,NEUROSCIENCE & BEHAVIOR,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],Implicit endorsement,Exact,NA,No guidance,No guidance,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",Explicit endorsement,No guidance,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",Explicit endorsement,No guidance,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",Explicit endorsement,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",Implicit endorsement
Nature Methods,BIOLOGY & BIOCHEMISTRY,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],Implicit endorsement,Exact,NA,No guidance,No guidance,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",Explicit endorsement,No guidance,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",Explicit endorsement,No guidance,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",Explicit endorsement,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",Implicit endorsement
CELL RESEARCH,MOLECULAR BIOLOGY & GENETICS,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],Implicit endorsement,Exact,NA,No guidance,No guidance,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",Explicit endorsement,No guidance,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",Explicit endorsement,No guidance,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",Explicit endorsement,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",Implicit endorsement
Nature Medicine,MOLECULAR BIOLOGY & GENETICS,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],Implicit endorsement,Exact,NA,No guidance,No guidance,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",Explicit endorsement,No guidance,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",Explicit endorsement,No guidance,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",Explicit endorsement,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",Implicit endorsement
Nature Cell Biology,MOLECULAR BIOLOGY & GENETICS,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],Implicit endorsement,Exact,NA,No guidance,No guidance,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",Explicit endorsement,No guidance,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",Explicit endorsement,No guidance,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",Explicit endorsement,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",Implicit endorsement
npj Computational Materials,MATERIALS SCIENCE,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],Implicit endorsement,Exact,NA,No guidance,No guidance,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",Explicit endorsement,No guidance,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",Explicit endorsement,No guidance,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",Explicit endorsement,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",Implicit endorsement
Mucosal Immunology,IMMUNOLOGY,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],Implicit endorsement,Exact,NA,No guidance,No guidance,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",Explicit endorsement,No guidance,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",Explicit endorsement,No guidance,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",Explicit endorsement,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",Implicit endorsement
Nature Energy,ENGINEERING,The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted [LSR],Implicit endorsement,Exact,NA,No guidance,No guidance,"The test results (e.g. P values) given as exact values whenever possible and with confidence intervals noted......confirm that the following items are present...A full description of the statistical parameters including...variation (e.g. standard deviation) or associated estimates of uncertainty (e.g. confidence intervals) [LSR] ... For all data presented in a plot, chart or other visual representation confirm that: ... Clearly defined error bars are present and what they represent (SD, SE, CI) is noted [EC]",Explicit endorsement,No guidance,"Estimates of effect sizes (e.g. Cohen's d, Pearson's r), indicating how they were calculated [LSR]",Explicit endorsement,No guidance,"Describe how sample size was determined, detailing any statistical methods used to predtermine sample size OR if no sample-size calculation was performed, describe how sample sizes were chosen and provide a rationale for why these sample sizes are sufficient. [LSR]",Explicit endorsement,"For Bayesian analysis, information on the choice of priors and Markov chain Monte Carlo settings [LSR]",Implicit endorsement
