coder,journal,has_guidance,has_external_guidance,external_guidance_raw,external_guidance_list,has_internal_guidance,has_internal_guidance_section,has_p_value,p_value,has_significance,significance,has_null_hypo,null_hypo,has_sample_size,sample_size,has_conf_int,conf_int,has_effect_size,effect_size,has_multi_compare,multi_compare,has_subgroup,subgroup,has_baseline_covar,baseline_covar,has_non_param,non_param,has_sensitivity,sensitivity,has_model_assume,model_assume,has_exclusion,exclusion,has_outliers,outliers,has_missing,missing,has_one_sided,one_sided,has_bayes,bayes,has_secondary,secondary,has_prespecify,prespecify,has_cat_continuous,cat_continuous,has_publisher_guidance,publisher_guidance,overall_rank,field_rank,journal_impact_factor,esi_field,journal_homepage,original_link_stat_guidance,perma_link_stat_guidance,notes,domain
DS/TH,Lancet Psychiatry,TRUE,TRUE,"ICMJE, CONSORT, STARD, STROBE, STREGA, PRISMA, GATHER, MIAME","icmje, consort, stard, strobe, strega, prisma, gather, miame",TRUE,FALSE,TRUE,"p values should be given to two significant figures, unless p<0·0001",FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"For intervention studies, the abstract should include the primary outcome expressed as the difference between groups with a confidence interval on that difference (absolute differences are more useful than relative ones).",TRUE,"For intervention studies, the abstract should include the primary outcome expressed as the difference between groups with a confidence interval on that difference (absolute differences are more useful than relative ones).",FALSE,NA,TRUE,"Separate reporting of data by demographic variables, such as age and sex, facilitates pooling of data for subgroups across studies and should be routine, unless inappropriate",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"Authors should briefly state...the criteria used to include or exclude studies (including the exact start and end dates of the search), which should not be limited to English language publications",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,Secondary outcomes can be included as long as they are clearly marked as secondary and all such outcomes are reported.,FALSE,NA,FALSE,NA,FALSE,NA,3616,15,15.233,PSYCHIATRY_PSYCHOLOGY,https://www.thelancet.com/journals/lanpsy/home,https://els-jbs-prod-cdn.literatumonline.com/pb/assets/raw/Lancet/authors/tlp-info-for-authors-1573836177763.pdf,https://perma.cc/6J5Q-DDRD,"This document refers to external guidelines, see p. 3",Social sciences
DS/TH,BULLETIN OF THE WORLD HEALTH ORGANIZATION,TRUE,TRUE,"ICMJE, PRISMA, EQUATOR","icmje, prisma, equator",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,330,9,6.361,"SOCIAL SCIENCES, GENERAL",https://www.who.int/bulletin/en/,https://www.who.int/bulletin/volumes/97/1/19-960119/en/,https://perma.cc/AL4R-RMXP,"This page refers to EQUATOR, see under ""Research""",Social sciences
DS/TH,TOURISM MANAGEMENT,TRUE,FALSE,NA,NA,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"Testing of the adequacy of the sample size should be undertaken
",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"b) A list of the items used in scaled data is required that shows the means, standard deviations, skew and kurtosis is requested. Many statistical techniques make assumptions of normality and referees and readers need to know that data does or does not conform to this requirement. The tables may be added as an appendix;
c) The use of structural equation modelling is a popular technique, and hence referees would wish to know not only that data meets the requirement of normality (and if not, what has been done about it) but also how missing data have been treated. It is a common requirement that not only are indices of fit reported, but also a covariance matrix is provided and critical ratios and average variance extracted are also reported;
",FALSE,NA,FALSE,NA,TRUE,"c) The use of structural equation modelling is a popular technique, and hence referees would wish to know not only that data meets the requirement of normality (and if not, what has been done about it) but also how missing data have been treated. It is a common requirement that not only are indices of fit reported, but also a covariance matrix is provided and critical ratios and average variance extracted are also reported;",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,340,10,5.921,"SOCIAL SCIENCES, GENERAL",https://www.journals.elsevier.com/tourism-management,https://www.elsevier.com/journals/tourism-management/0261-5177/guide-for-authors,https://perma.cc/WA4S-PNM4,"Unsure whether this counts, but see under ""Articles using quantitative methods""",Social sciences
DS/TH,PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF THE PACIFIC,TRUE,FALSE,NA,NA,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,618,9,3.409,SPACE SCIENCE,https://iopscience.iop.org/journal/1538-3873,https://iopscience.iop.org/journal/1538-3873/page/instructions_for_authors,https://perma.cc/Y2TS-JQ7T,"Unsure whether this counts, but see under ""Guidelines for the minimum standard of scientific content for consideration of binary star articles""",Physical sciences
MSH/TH,JOURNAL OF AUTOIMMUNITY,TRUE,TRUE,ARRIVE,arrive,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,455,7,7.607,IMMUNOLOGY,https://www.journals.elsevier.com/journal-of-autoimmunity,https://www.elsevier.com/journals/journal-of-autoimmunity/0896-8411/guide-for-authors,http://web.archive.org/web/20160603195841/https://www.elsevier.com/journals/journal-of-autoimmunity/0896-8411/guide-for-authors,NA,Health sciences
MSH/TH,Nano Energy,TRUE,TRUE,ARRIVE,arrive,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,282,8,13.12,MATERIALS SCIENCE,https://www.journals.elsevier.com/nano-energy,https://www.elsevier.com/journals/nano-energy/2211-2855/guide-for-authors,http://web.archive.org/web/20160801095621/https://www.elsevier.com/journals/nano-energy/2211-2855/guide-for-authors,NA,Physical sciences
MSH/TH,ALIMENTARY PHARMACOLOGY & THERAPEUTICS,TRUE,TRUE,"EQUATOR, Randomised trials: CONSORT, Observational studies: STROBE, Systematic reviews: PRISMA, Case reports: CARE, Qualitative research: SRQR, Diagnostic / prognostic studies: STARD, Quality improvement studies: SQUIRE, Economic evaluations: CHEERS, Study protocols: SPIRIT, Clinical practice guidelines: AGREE","equator, consort, strobe, prisma, care, srqr, stard, squire, cheers, spirit, agree",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,2859,14,7.357,PHARMACOLOGY & TOXICOLOGY,https://onlinelibrary.wiley.com/journal/13652036,https://onlinelibrary.wiley.com/page/journal/13652036/homepage/forauthors.html,http://web.archive.org/web/20191120111616/https://onlinelibrary.wiley.com/page/journal/13652036/homepage/forauthors.html,NA,Health sciences
MSH/TH,PLANT CELL,TRUE,TRUE,"Additional resources:

Statistics for Biologists (http://web.archive.org/web/20191117085001/https://www.nature.com/collections/qghhqm)

Use of ANOVA versus T-test (http://www.plantcell.org/content/27/8/2088.full)

How Robust Are Your Data? (https://www.nature.com/articles/ncb0609-667a)

Error Bars in Experimental Biology (http://web.archive.org/web/20191103001123/http://jcb.rupress.org/content/177/1/7)

Know When Your Numbers Are Significant (https://www.nature.com/articles/492180a)

Ten Simple Rules for Reproducible Computational Research (https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1003285)",Cumming et al. 2007 (10.1083/jcb.200611141),TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,we look for...the use of multiple comparison corrections where necessary to control for Type I family-wise error,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,698,14,8.228,PLANT & ANIMAL SCIENCE,http://www.plantcell.org,https://tpc.msubmit.net/cgi-bin/main.plex?form_type=display_auth_instructions,http://web.archive.org/web/20191120144648/https://tpc.msubmit.net/cgi-bin/main.plex?form_type=display_auth_instructions,NA,Life sciences
MSH/TH,PERSONNEL PSYCHOLOGY,TRUE,TRUE,JARS,apa jars,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,400,8,5.523,PSYCHIATRY_PSYCHOLOGY,https://onlinelibrary.wiley.com/journal/17446570,https://onlinelibrary.wiley.com/page/journal/17446570/homepage/forauthors.html,http://web.archive.org/web/20191121095539/https://onlinelibrary.wiley.com/page/journal/17446570/homepage/forauthors.html,NA,Social sciences
MSH/TH,ENVIRONMENT INTERNATIONAL,TRUE,TRUE,PRISMA,prisma,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,325,8,7.297,ENVIRONMENT_ECOLOGY,https://www.journals.elsevier.com/environment-international,NA,http://web.archive.org/web/20190609233228/https://www.elsevier.com/journals/environment-international/0160-4120/guidance-notes,NA,Life sciences
MSH/TH,Epidemiology and Psychiatric Sciences,TRUE,TRUE,EQUATOR,equator,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,47,2,5.684,PSYCHIATRY_PSYCHOLOGY,https://www.cambridge.org/core/journals/epidemiology-and-psychiatric-sciences,https://www.cambridge.org/core/journals/epidemiology-and-psychiatric-sciences/information/instructions-contributors,http://web.archive.org/web/20191125131518/https://www.cambridge.org/core/journals/epidemiology-and-psychiatric-sciences/information/instructions-contributors,"This page refers to EQUATOR, see under ""Reporting Guidelines""",Social sciences
DS/TH,Molecular Ecology Resources,TRUE,TRUE,ARRIVE,arrive,TRUE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,479,12,7.059,ENVIRONMENT_ECOLOGY,https://onlinelibrary.wiley.com/journal/17550998,https://onlinelibrary.wiley.com/page/journal/17550998/homepage/forauthors.html,https://web.archive.org/web/20191120103308/https://onlinelibrary.wiley.com/page/journal/17550998/homepage/forauthors.html,NA,Life sciences
DS/TH,Conservation Letters,TRUE,FALSE,NA,NA,TRUE,TRUE,TRUE,"Any article reporting p-values must also report 95% Confidence Intervals (CIs) in the text and in figures. All figures that include data used in statistical analyses must show error bars on the figure, either in the main text or Supporting Information. Where possible, these error bars should show 95% CIs, but in all cases authors must be explicit about what the error bars show.",FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"Any article reporting p-values must also report 95% Confidence Intervals (CIs) in the text and in figures. All figures that include data used in statistical analyses must show error bars on the figure, either in the main text or Supporting Information. Where possible, these error bars should show 95% CIs, but in all cases authors must be explicit about what the error bars show.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,413,10,7.279,ENVIRONMENT_ECOLOGY,https://conbio.onlinelibrary.wiley.com/journal/1755263x,https://conbio.onlinelibrary.wiley.com/hub/journal/1755263x/homepage/forauthors.html,http://web.archive.org/web/20191120103131/https://conbio.onlinelibrary.wiley.com/hub/journal/1755263x/homepage/forauthors.html,NA,Life sciences
DS/TH,PLANT CELL AND ENVIRONMENT,TRUE,TRUE,"EQUATOR
Randomised trials: CONSORT
Observational studies: STROBE
Systematic reviews: PRISMA
Case reports: CARE
Qualitative research: SRQR
Diagnostic / prognostic studies: STARD
Quality improvement studies: SQUIRE
Economic evaluations: CHEERS
Animal pre-clinical studies: ARRIVE
Study protocols: SPIRIT
Clinical practice guidelines: AGREE
MIBBI","equator, consort, strobe, prisma, care, srqr, stard, squire, cheers, arrive, spirit, agree, mibbi",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,1015,15,5.415,PLANT & ANIMAL SCIENCE,https://onlinelibrary.wiley.com/journal/13653040,https://onlinelibrary.wiley.com/page/journal/13653040/homepage/forauthors.html,http://web.archive.org/web/20191120144950/https://onlinelibrary.wiley.com/page/journal/13653040/homepage/forauthors.html,NA,Life sciences
DS/TH,Evolutionary Applications,TRUE,TRUE,"CONSORT, STROBE, PRISMA, CARE, SRQR, STARD, SQUIRE, CHEERS, SPIRIT, AGREE, ARRIVE, MIBBI","consort, strobe, prisma, care, srqr, stard, squire, cheers, spirit, agree, arrive, mibbi",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,579,12,4.694,PLANT & ANIMAL SCIENCE,https://onlinelibrary.wiley.com/journal/17524571,https://onlinelibrary.wiley.com/page/journal/17524571/homepage/forauthors.html,http://web.archive.org/web/20191120144953/https://onlinelibrary.wiley.com/page/journal/17524571/homepage/forauthors.html,FALSE,Life sciences
DS/TH,AMERICAN SOCIOLOGICAL REVIEW,TRUE,FALSE,NA,NA,TRUE,FALSE,TRUE,"Generally, results at p > .05 (such as p < .10) should not be indicated as significant. Use asterisks *, **, and *** to indicate significance at the p < .05, p < .01, and p < .001 levels, respectively",TRUE,"Generally, results at p > .05 (such as p < .10) should not be indicated as significant.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,always specify one-tailed or two-tailed tests.,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,754,12,5.063,"SOCIAL SCIENCES, GENERAL",https://journals.sagepub.com/home/asr,https://journals.sagepub.com/author-instructions/ASR,http://web.archive.org/web/20191123144312/https://journals.sagepub.com/author-instructions/ASR,NA,Social sciences
MM/TH,MOLECULAR ECOLOGY,TRUE,TRUE,ARRIVE,arrive,TRUE,TRUE,TRUE,"Tables - symbols  *, **, *** should be reserved for P-values",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,263,5,6.131,ENVIRONMENT_ECOLOGY,https://onlinelibrary.wiley.com/journal/1365294x,https://onlinelibrary.wiley.com/page/journal/1365294x/homepage/forauthors.html,https://web.archive.org/web/20191120103646/https://onlinelibrary.wiley.com/page/journal/1365294x/homepage/forauthors.html,NA,Life sciences
MM/TH,ALLERGY,TRUE,TRUE,"STROBE, CONSORT, STREGA, MIAME, PRISMA, CARE, SRQR, STARD, SQUIRE, CHEERS, SPIRIT, AGREE, ARRIVE, Minimum Information Guidelines from Diverse Bioscience Communities (MIBBI)","strobe, consort, strega, miame, prisma, care, srqr, stard, squire, cheers, spirit, agree, arrive, mibbi",TRUE,FALSE,TRUE,"Tables - symbols  *, **, *** should be reserved for P-values",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,646,11,6.048,IMMUNOLOGY,https://onlinelibrary.wiley.com/journal/13989995,https://onlinelibrary.wiley.com/page/journal/13989995/homepage/forauthors.html,https://web.archive.org/web/20191120115804/https://onlinelibrary.wiley.com/page/journal/13989995/homepage/forauthors.html,NA,Health sciences
MM/TH,PHARMACOLOGICAL RESEARCH,TRUE,TRUE,"ARRIVE, Uniform Requirements for manuscripts submitted to Biomedical journals, http://www.icmje.org","arrive, icmje",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,176,3,4.897,PHARMACOLOGY & TOXICOLOGY,https://www.journals.elsevier.com/pharmacological-research,https://www.elsevier.com/journals/pharmacological-research/1043-6618/guide-for-authors,https://web.archive.org/web/20160522031654/https://www.elsevier.com/journals/pharmacological-research/1043-6618/guide-for-authors,NA,Health sciences
MM/TH,Acta Pharmaceutica Sinica B,TRUE,TRUE,"ARRIVE,CONSORT, ICMJE guidelines (Recommendations for the Conduct, Reporting, Editing
and Publication of Scholarly Work in Medical Journals)","arrive, consort, icmje",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,1759,13,6.014,PHARMACOLOGY & TOXICOLOGY,https://www.journals.elsevier.com/acta-pharmaceutica-sinica-b,https://www.elsevier.com/journals/acta-pharmaceutica-sinica-b/2211-3835/guide-for-authors,https://web.archive.org/web/20191111143957/https://www.elsevier.com/journals/acta-pharmaceutica-sinica-b/2211-3835/guide-for-authors,NA,Health sciences
MM/TH,AMERICAN JOURNAL OF POLITICAL SCIENCE,TRUE,FALSE,NA,NA,TRUE,FALSE,FALSE,NA,TRUE,Authors who report that results are “statistically significant” should use the 0.05 level or lower. Statistical tests using the 0.10 level are not acceptable for work submitted to the AJPS.,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"If you have registered a pre-analysis plan and you believe that viewing it would help reviewers assess your manuscript, you may include it in the supporting information section an anonymized version of it.",FALSE,NA,FALSE,NA,143,5,5.22,"SOCIAL SCIENCES, GENERAL",https://onlinelibrary.wiley.com/journal/15405907,https://ajps.org/guidelines-for-manuscripts/manuscript-preparation/,https://perma.cc/7MRJ-PZRA,"the perma link is from 2021, however the page says it was revised only in July 2019",Social sciences
MM/TH,ASTROBIOLOGY,TRUE,TRUE,Uniform Requirements for Manuscripts Submitted to Biomedical Journals,icmje,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,824,11,3.61,SPACE SCIENCE,https://home.liebertpub.com/publications/astrobiology/99,https://home.liebertpub.com/publications/astrobiology/99/for-authors,https://web.archive.org/web/20191120143252/https://home.liebertpub.com/publications/astrobiology/99/for-authors,NA,Physical sciences
TB/TH,Translational Stroke Research,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,720,11,8.266,NEUROSCIENCE & BEHAVIOR,https://link.springer.com/journal/12975,https://www.springer.com/journal/12975/submission-guidelines,https://web.archive.org/web/20191120140758/https://www.springer.com/journal/12975/submission-guidelines,NA,Life sciences
TB/TH,EUROPEAN JOURNAL OF EPIDEMIOLOGY,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,37,1,7.023,"SOCIAL SCIENCES, GENERAL",https://link.springer.com/journal/10654,https://www.springer.com/journal/10654/submission-guidelines,https://web.archive.org/web/20191120150740/https://www.springer.com/journal/10654/submission-guidelines,NA,Social sciences
TB/TH,AGRICULTURAL AND FOREST METEOROLOGY,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,23,1,4.039,AGRICULTURAL SCIENCES,https://www.sciencedirect.com/journal/agricultural-and-forest-meteorology,NA,NA,FALSE,Life sciences
TB/TH,ENVIRONMENTAL SCIENCE & TECHNOLOGY,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,836,14,6.653,ENVIRONMENT_ECOLOGY,https://pubs.acs.org/journal/esthag,https://publish.acs.org/publish/author_guidelines?coden=esthag,NA,NA,Life sciences
TB/TH,ACTA NEUROPATHOLOGICA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,637,10,15.876,NEUROSCIENCE & BEHAVIOR,https://www.springer.com/journal/401,https://www.springer.com/journal/401/submission-guidelines,http://web.archive.org/web/20191120140733/https://www.springer.com/journal/401/submission-guidelines,NA,Life sciences
TB/TH,ARCHIVES OF TOXICOLOGY,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,1388,12,5.728,PHARMACOLOGY & TOXICOLOGY,https://link.springer.com/journal/204,https://www.springer.com/journal/204/submission-guidelines,https://www.springer.com/journal/204/submission-guidelines,NA,Health sciences
TB/TH,JOURNAL OF ECONOMIC GROWTH,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,607,12,6.48,ECONOMICS & BUSINESS,https://link.springer.com/journal/10887,https://www.springer.com/journal/10887/submission-guidelines,NA,NA,Social sciences
TB/TH,Agronomy for Sustainable Development,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,108,5,4.503,AGRICULTURAL SCIENCES,https://link.springer.com/journal/13593,NA,NA,FALSE,Life sciences
TB/TH,MOLECULAR NUTRITION & FOOD RESEARCH,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,150,6,5.151,AGRICULTURAL SCIENCES,https://onlinelibrary.wiley.com/journal/16134133,NA,NA,FALSE,Life sciences
TB/TH,INDUSTRIAL CROPS AND PRODUCTS,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,358,9,3.849,AGRICULTURAL SCIENCES,https://www.journals.elsevier.com/industrial-crops-and-products,NA,NA,FALSE,Life sciences
TB/TH,FOOD MICROBIOLOGY,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,485,11,4.09,AGRICULTURAL SCIENCES,https://www.journals.elsevier.com/food-microbiology,NA,NA,FALSE,Life sciences
TB/TH,CLINICAL PHARMACOLOGY & THERAPEUTICS,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,554,7,6.544,PHARMACOLOGY & TOXICOLOGY,https://ascpt.onlinelibrary.wiley.com/journal/15326535,https://ascpt.onlinelibrary.wiley.com/page/journal/15326535/guidetoauthors,http://web.archive.org/web/20191120111619/https://ascpt.onlinelibrary.wiley.com/page/journal/15326535/guidetoauthors,NA,Health sciences
TB/TH,Global Change Biology Bioenergy,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,522,12,5.415,AGRICULTURAL SCIENCES,https://onlinelibrary.wiley.com/journal/17571707,NA,NA,FALSE,Life sciences
TB/TH,BIOLOGY AND FERTILITY OF SOILS,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,647,13,3.808,AGRICULTURAL SCIENCES,https://link.springer.com/journal/374,NA,NA,FALSE,Life sciences
