coder,journal,has_guidance,has_external_guidance,external_guidance,has_internal_guidance,has_internal_guidance_section,has_p_value,p_value,has_significance,significance,has_null_hypo,null_hypo,has_sample_size,sample_size,has_conf_int,conf_int,has_effect_size,effect_size,has_multi_compare,multi_compare,has_subgroup,subgroup,has_baseline_covar,baseline_covar,has_non_param,non_param,has_sensitivity,sensitivity,has_model_assume,model_assume,has_exclusion,exclusion,has_outliers,outliers,has_missing,missing,has_one_sided,one_sided,has_bayes,bayes,has_secondary,secondary,has_prespecify,prespecify,has_cat_continuous,cat_continuous
MM/TH,JOURNAL OF CLINICAL ONCOLOGY,TRUE,TRUE,"REMARK, ICJME, CONSORT, CONSORT PRO Extension",TRUE,TRUE,TRUE,"For randomized clinical trials, report two-sided P values...If the trial design was Bayesian, used one-sided P values, or was not based on a standard two-sided test, the primary result and conclusion may be described in terms of the original design. However, also include the two-sided P value of a standard test...Report actual P values, not, for example, P >.05. Two digits are sufficient for P > .01.",FALSE,NA,FALSE,NA,FALSE,NA,TRUE,Report outcomes with both absolute and relative differences and confidence intervals where appropriate.,TRUE,"Report outcomes with both absolute and relative differences and confidence intervals where appropriate...Authors may report differences in terms of odds ratios or hazard ratios, but should also include a comparison of an absolute difference of the primary measure (e.g., difference in survival at 5 years or difference in proportions of successes).",TRUE,Reports of studies with multiple or secondary end points should address the multiple comparison issues and describe the exploratory nature of the studies.,TRUE,"Primary planned endpoints of the study, as well as planned or unplanned subset analyses, and the statistical analysis used to assess these endpoints, must be clearly stated.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"For randomized clinical trials, report two-sided P values...If the trial design was Bayesian, used one-sided P values, or was not based on a standard two-sided test, the primary result and conclusion may be described in terms of the original design. However, also include the two-sided P value of a standard test.",TRUE,"If the trial design was Bayesian, used one-sided P values, or was not based on a standard two-sided test, the primary result and conclusion may be described in terms of the original design. However, also include the two-sided P value of a standard test.",TRUE,"Reports of studies with multiple or secondary end points should address the multiple comparison issues and describe the exploratory nature of the studies...Primary planned endpoints of the study, as well as planned or unplanned subset analyses, and the statistical analysis used to assess these endpoints, must be clearly stated.",TRUE,"Primary planned endpoints of the study, as well as planned or unplanned subset analyses, and the statistical analysis used to assess these endpoints, must be clearly stated.",FALSE,NA
MM/TH,ANNALS OF INTERNAL MEDICINE,TRUE,TRUE,"EQUATOR, Controlled Trials: CONSORT
Cost-effectiveness Analyses: CHEERS
Diagnostic Test Studies: STARD 2015,
Observational Studies: STROBE
Molecular Epidemiology: STROBE-ME
Qualitative Research: COREQ
Genetic Risk Prediction Studies: GRIPS
Quality Improvement Studies: SQUIRE
Multivariable Prediction Model for Individual Prognosis Or Diagnosis: TRIPOD",TRUE,TRUE,TRUE,"9. Statistical Significance and P Values

Avoid interpreting results based upon statistical significance alone, and follow the principles of proper use and interpretation of the p-value from the American Statistical Association. (ASA's Statement on Statistical Significance and P-values) Consider the clinical importance of observed differences and the width of 95% confidence intervals when interpreting results. In situations where results are consistent with 'no difference' be sure to differentiate results that are indeterminate (consistent with clinically meaningful benefits) from those that are negative (rule-out clinically meaningful benefits).

Useful resources:

Greenland S, Senn SJ, Rothman KJ, et al. Statistical tests, P values, confidence intervals and power: a guide to misinterpretations. Eur J Epidemiol. 2016;31:337-350.

Goodman SN, Berlin JA. The use of predicted confidence intervals when planning experiments and the misuse of power when interpreting results. Ann Intern Med. 1994;121:200-206.

Goodman SN. A dirty dozen: twelve p-value misconceptions. Semin Hematol. 2008;45:135-140.

Wasserstein RL, Lazar NA. The ASA's statement on p-values: context, process, and purpose. The American Statistician. 2016;70:129-133. doi:10.1080/00031305.2016.1154108

...

For P values between 0.001 and 0.20, please report the value to the nearest thousandth. For P values greater than 0.20, please report the value to the nearest hundredth. For P values less than 0.001, report as “P<0.001.” ... Only use the word trend when describing a test for trend or dose-response. Avoid the term trend when referring to P values near but not below 0.05. In such instances, simply report a difference and the confidence interval of the difference (if appropriate) with or without the P value...In tables that simply describe the characteristics of 2 or more groups (e.g., Table 1 of a clinical trial): ...Avoid reporting P values as there can be imbalance when P values are not significant (because of small sample size) and balance when P values are significant (because of large sample size).",TRUE,"9. Statistical Significance and P Values

Avoid interpreting results based upon statistical significance alone, and follow the principles of proper use and interpretation of the p-value from the American Statistical Association. (ASA's Statement on Statistical Significance and P-values) Consider the clinical importance of observed differences and the width of 95% confidence intervals when interpreting results. In situations where results are consistent with 'no difference' be sure to differentiate results that are indeterminate (consistent with clinically meaningful benefits) from those that are negative (rule-out clinically meaningful benefits).

Useful resources:

Greenland S, Senn SJ, Rothman KJ, et al. Statistical tests, P values, confidence intervals and power: a guide to misinterpretations. Eur J Epidemiol. 2016;31:337-350.

Goodman SN, Berlin JA. The use of predicted confidence intervals when planning experiments and the misuse of power when interpreting results. Ann Intern Med. 1994;121:200-206.

Goodman SN. A dirty dozen: twelve p-value misconceptions. Semin Hematol. 2008;45:135-140.

Wasserstein RL, Lazar NA. The ASA's statement on p-values: context, process, and purpose. The American Statistician. 2016;70:129-133. doi:10.1080/00031305.2016.1154108


...


Screening covariates

Approaches that select factors for inclusion in a multivariable model only if the factors are “statistically significant” in “bivariate screening” are not optimal. A factor can be a confounder even if it is not statistically significant by itself because it changes the effect of the exposure of interest when it is included in the model, or because it is a confounder only when included with other covariates.

Useful resource:

Sun GW, Shook TL, Kay GL. Inappropriate use of bivariable analysis to screen risk factors for use in multivariable analysis. J Clin Epidemiol. 1996;49:907-16. PMID: 8699212",FALSE,NA,FALSE,NA,TRUE,"Report confidence intervals, rather than standard errors, when possible...Only use the word trend when describing a test for trend or dose-response. Avoid the term trend when referring to P values near but not below 0.05. In such instances, simply report a difference and the confidence interval of the difference (if appropriate) with or without the P value... If several risk factors for disease are considered in a logistic regression model and some of these risk factors are measured with error, the point and interval estimates of relative risk corresponding to any of these factors may be biased either toward or away from the null value; the direction of bias is never certain. In addition to potentially biased estimates, confidence intervals of correctly adjusted estimates will be wider, sometime substantially, than naïve confidence intervals. Authors are encouraged to consult the references below for strategies to address this problem.

Useful resources:

Rosner B, Spiegelman D, Willett WC. Correction of logistic regression relative risk estimates and confidence intervals for measurement error: the case of multiple covariates measured with error. Am J Epidemiol. 1990;132:734-45. PMID: 2403114

Carroll R. Measurement Error in epidemiologic studies. In Encyclopedia of Biostatistics. New York: John Wiley & Sons; 1998. ISBN: 0471975761

...

All estimates should reflect a clinically meaningful change, along with 95% confidence bounds

...
Between-group differences

For comparisons of interventions (e.g., trials), focus on between- group differences, with 95% confidence intervals of the differences, and not on within-group differences. State the results using absolute numbers (numerator/denominator) when feasible. When discussing effects, refer to the confidence intervals rather than P values and point out for readers if the confidence intervals exclude the possibility of significant clinical benefit or harm.

...

For all of these reasons, we recommend that authors present cumulative incidence curves (inverted Kaplan-Meier plots) along with tabular summaries of absolute differences in cumulative incidence, with 95% confidence bounds, at meaningful times...

...

Consider providing a table of predicted probabilities for each of the factors of interest, and confidence intervals of those predicted probabilities.",TRUE,"Clinically meaningful estimates

Authors should report results for meaningful metrics rather than reporting raw results. For example, rather than reporting the log odds ratio from a logistic regression, authors should transform coefficients into the appropriate measure of effect size, odds ratio, relative risk, or risk difference. Estimates, such as an odds ratio or relative risk, should not be reported for a 1-unit change in the factor of interest if a 1-unit change lacks clinical meaning (age, mm Hg of blood pressure, or any other continuous or interval measurement with small units). All estimates should reflect a clinically meaningful change, along with 95% confidence bounds.

...

Between-group differences

For comparisons of interventions (e.g., trials), focus on between- group differences, with 95% confidence intervals of the differences, and not on within-group differences. State the results using absolute numbers (numerator/denominator) when feasible. When discussing effects, refer to the confidence intervals rather than P values and point out for readers if the confidence intervals exclude the possibility of significant clinical benefit or harm.

...

Odds ratios and predicted probabilities

Authors often report odds ratios for multivariable results when the odds ratio is difficult to interpret or not meaningful. First, the odds ratio might overstate the effect size when the reference risk is high. For example, if the reference risk is 25% (odds = 0.33) and the odds ratio is 3.0, the relative risk is only 2.0. Statements such as “3-fold increased risk” or “3 times the risk” are incorrect. Second, readers want an easily understood measure of the level of risk (and the confidence intervals) for different groups of patients as defined by treatment, exposure, and covariates. Consider providing a table of predicted probabilities for each of the factors of interest, and confidence intervals of those predicted probabilities. Moreover, a multiway table that cross-classifies predicted probabilities by the most important factor and then adjusts for the remaining factors will often be more meaningful than a table of adjusted odds ratios. Standard commercial software can produce predicted probabilities and confidence bounds.

Useful resource:

Altman DG, Deeks JJ, Sackett DL. Odds ratios should be avoided when events are common. BMJ. 1998;317:1318. PMID: 9804732

Hazard Ratios and Standardized Cumulative Incidence

Authors often report results from analysis of survival or time-to-event data using hazard ratios estimated from proportional hazards Cox models. Hazard ratios are notoriously difficult to interpret clinically, may be sensitive to the length of follow-up, and rely on model assumptions, such as proportional hazards. In addition, presenting estimates of effect in both absolute and relative terms increases the likelihood that results will be correctly interpreted. For all of these reasons, we recommend that authors present cumulative incidence curves (inverted Kaplan-Meier plots) along with tabular summaries of absolute differences in cumulative incidence, with 95% confidence bounds, at meaningful times, when reporting results from survival analyses. When such an analysis requires covariate adjustment, authors can estimate and present covariate-standardized (weighted) cumulative incidence curves with differences in adjusted cumulative incidence at meaningful times.

Useful resources:

Hernan MA. The hazards of hazard ratios. Epidemiology. 2010;21:13-5. PMID: 20010207

Uno H, Wittes J, Fu H, et al. Alternatives to hazard ratios for comparing the efficacy or safety of therapies in noninferiority studies. Ann Intern Med. 2015;163:127-134. doi:10.7326/M14-1741

Therneau T, Crowson CS, Atkinson EJ. Adjusted Survival Curves. http://cran.r-project.org/web/packages/survival/vignettes/adjcurve.pdf

Cole SR, Hernan MA. Adjusted survival curves with inverse probability weights. Comput Methods Programs Biomed. 2004;75:45-49. PMID: 15158046

Zhang X, Zhang MJ. SAS macros for estimation of direct adjusted cumulative incidence curves under proportional subdistribution hazards models. Comput Methods Programs Biomed. 2011;101(1):87-93. doi:10.1016/j.cmpb.2010.07.005

Storer BE, Gooley TA, Jones MP. Adjusted estimates for time-to-event endpoints. Lifetime Data Anal. 2008;14(4):484-495. doi:10.1007/s10985-008-9098-9.

...

8. Meta-analysis...

If you use meta-regression, specify how the independent variables are coded for the model. Simple binary variables and mean values are easily understood and modeled. Note that proportions are naturally nonlinear and are best represented and modeled on either the logit or arcsine scale.",FALSE,NA,TRUE,"8. Meta-analysis... State whether you identified potential sources of heterogeneity prior to initiating your review and analyses, and describe whether and how you carried out subgroup or sensitivity analyses or meta-regression to explore that heterogeneity.",FALSE,NA,FALSE,NA,TRUE,"Provide more detailed methods and results (e.g., sensitivity analyses) that cannot be described within the main body of the paper within an appendix.

...

7. Sensitivity Analysis and Unmeasured Confounding

Analyses of observational data that attempt to assess causality between an exposure and an outcome are generally subject to confounding due to unmeasured or omitted covariates. In these settings, authors should carry out formal sensitivity analysis to assess how strong an unmeasured confounder would need to be to explain away an observed association. One relatively easy to use method that does not require strong assumptions is the E-value, proposed by VanderWeele and Ding (2017), an article that contains many references, includes a technical appendix, and points to available software. After conducting formal sensitivity, or bias analysis, authors can discuss the likelihood that the reported results are due to residual confounding.

Useful resources:

VanderWeele TJ, Ding P. Sensitivity analysis in observational research: introducing the E-value. Ann Intern Med. 2017;167:268-74.doi:10.7326/M16-2607

Ding P, VanderWeele TJ. Sensitivity analysis without assumptions. Epidemiology. 2016;27:368-77. PMID: 26841057

Lin DY, Psaty BM, Kronmal RA. Assessing the sensitivity of regression results to unmeasured confounders in observational studies. Biometrics. 1998;54:948-63. PMID: 9750244

...

8. Meta-analysis... State whether you identified potential sources of heterogeneity prior to initiating your review and analyses, and describe whether and how you carried out subgroup or sensitivity analyses or meta-regression to explore that heterogeneity.",FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"5. Missing Data

Missing variables

Always report the frequency of missing variables and how the analysis handled missing data. Consider adding a column to tables or a row under figures that makes clear the amount of missing data. Avoid using a simple indicator or dummy variable to represent a missing value. Replacing missing predictors with dummy variables or missing indicators generally leads to biased estimates.

Useful resources:

Sterne JA, White IR, Carlin JB, Spratt M, Royston P, Kenward MG, et al. Multiple imputation for missing data in epidemiological and clinical research: potential and pitfalls. BMJ. 2009;338:b2393. PMID: 19564179

Vach W, Blettner M. Biased estimation of the odds ratio in case-control studies due to the use of ad hoc methods or correcting for missing values of confounding variables. Am J Epidemiol. 1991;134:895-907. PMID: 1670320

Vach W, Blettner M. Missing data in epidemiologic studies. In Encyclopedia of Biostatistics. New York: John Wiley & Sons; 1998:2641-54. ISBN: 0471975761

Greenland S, Finkle WD. A critical look at methods for handling missing covariates in epidemiologic regression analyses. Am J Epidemiol. 1995;142:1255-64. PMID: 7503045

Allison PD. Missing Data. Thousand Oaks, California: Sage Publications; 2002. ISBN: 0761916725

...

Missing Outcomes

Always report the frequency of missing outcomes and follow-up data, reasons and any patterns for the missing data, and how you handled missing data in the analyses. Do not use a last observation carried forward approach (LOCF) to address incomplete follow-up even if the original protocol prespecified that approach for handling missing data. LOCF approaches understate variability and result in bias. The direction of the bias is not predictable. Although the method of addressing missing data may have little import on findings when the proportion of missing data is small (e.g., <5%), authors should avoid using outdated or biased methods to address incomplete follow-up. Appropriate methods for handling missing data include imputation, pattern-mixture (mixed) models, and selection models. Application of these methods requires consideration of the patterns and potential mechanisms behind the missing data.

Useful resources:

Fitzmaurice GM, Laird NM, Ware JH. Applied Longitudinal Analysis. New York: John Wiley & Sons; 2011: chapters 17 and 18. ISBN: 0470380277

Molenberghs G, Kenward MG. Missing Data in Clinical Studies. London: John Wiley & Sons; 2007. ISBN: 0470849811

Molenberghs G, Verbeke G. Models for Discrete Longitudinal Data. New York: Springer; 2005: chapters 26-32. ISBN: 0387251448

National Research Council. The Prevention and Treatment of Missing Data in Clinical Trials. Panel on Handling Missing Data in Clinical Trials. Committee on National Statistics, Division of Behavioral and Social Sciences and Education. Washington, DC: The National Academies Press; 2010. ISBN: 0309158145 www.nap.edu/catalog/12955.html

Liao J, Stack CB. Annals Understanding Clinical Research: implications of missing data due to dropout. Ann Intern Med. 2017;166:596-8. doi:10.7326/M17-0195


...

In random coefficient analysis, missing data are assumed missing at random dependent on observed data but not on unobserved data.",FALSE,NA,TRUE,"For Bayesian methods, provide full code, including starting values and priors, within an appendix.",FALSE,NA,TRUE,"Authors should avoid stepwise methods of model building, except for the narrow application of hypothesis generation for subsequent studies. Stepwise methods include forward, backward, or combined procedures for the inclusion and exclusion of variables in a statistical model based on predetermined P value criteria.

...

Do not use a last observation carried forward approach (LOCF) to address incomplete follow-up even if the original protocol prespecified that approach for handling missing data.

...

8. Meta-analysis... State whether you identified potential sources of heterogeneity prior to initiating your review and analyses, and describe whether and how you carried out subgroup or sensitivity analyses or meta-regression to explore that heterogeneity. Make clear which such analyses were prespecified and which were not.",FALSE,NA
MM/TH,Nature Chemical Biology,TRUE,TRUE,"CONSORT, REMARK, Nature life sciences reporting checklist; Nature solar cells reporting; Nature lasing reporting",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MM/TH,JOURNAL OF PINEAL RESEARCH,TRUE,TRUE,"EQUATOR, CONSORT, STROBE, PRISMA, CARE, SRQR, STARD, SQUIRE, CHEERS, ARRIVE, SPIRIT, AGREE",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MM/TH,GENETICS SELECTION EVOLUTION,TRUE,TRUE,"EQUATOR, SAMPL, Randomized controlled trials (CONSORT) and protocols (SPIRIT) Systematic reviews and meta-analyses (PRISMA) and protocols (PRISMA-P) Observational studies (STROBE) Case reports (CARE) Qualitative research (COREQ) Diagnostic/prognostic studies (STARD and TRIPOD) Economic evaluations (CHEERS) Pre-clinical animal studies (ARRIVE)",TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
MM/TH,Nature Protocols,TRUE,TRUE,"CONSORT, REMARK, Nature life sciences reporting checklist; Nature solar cells reporting; Nature lasing reporting",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MM/TH,Science Translational Medicine,TRUE,TRUE,"EQUATOR, ARRIVE, REMARK, STARD, MOOSE, PRISMA, STROBE, STREGA, BRISQ, Tumor marker studies (Simon et al., 2009), Rodent model studies (Hollingshead, 2008), Microarray-based studies for clinical outcomes, Table 3 in Dupuy & Simon, 2007)",TRUE,TRUE,TRUE,"The testing level (alpha) and whether one-sided or two-sided testing was used should be reported for each statistical test; typically two-sided testing is appropriate, but if one-sided testing is used its use should be justified.
Adjustments made to alpha levels (e.g., Bonferroni correction) or other procedure used to account for multiple testing (e.g., false discovery rate control) should be reported...Results of each statistical test should be reported in full with the value of the test statistic and p-value, and not simply reported as significant or non-significant; more than two significant digits on p-values are usually not needed except in situations of extreme multiple testing such as in genetic association studies where stringent corrections for multiple testing might be used.",TRUE,"The testing level (alpha) and whether one-sided or two-sided testing was used should be reported for each statistical test; typically two-sided testing is appropriate, but if one-sided testing is used its use should be justified.
...
Results of each statistical test should be reported in full with the value of the test statistic and p-value, and not simply reported as significant or non-significant; more than two significant digits on p-values are usually not needed except in situations of extreme multiple testing such as in genetic association studies where stringent corrections for multiple testing might be used.",FALSE,NA,TRUE,"Sample size. How did you select your sample size? Did you use a power analysis to calculate the sample size necessary to achieve a reliable measurement of the effect? Did you alter this number during the course of the study and, if so, why?
...
Rules for stopping data collection. Did you define rules for stopping data collection in advance (for example, specific intermediary and final endpoints)?",TRUE,"Methods used for conducting statistical tests (e.g., t-test, Wilcoxon signed rank test, Wald test of regression coefficient) and for constructing confidence intervals (e.g., normal-based 95% CI: mean ± 2SD, likelihood ratio-based interval) should be clearly stated.
...
Point estimates of population parameters (e.g., mean, correlation coefficient, slope) or comparative measures (e.g., mean difference, odds ratio, hazard ratio) should be accompanied by a measure of uncertainty such as a standard error or a confidence interval.",FALSE,NA,TRUE,"Selection of endpoints. Were the primary and secondary endpoints prospectively selected? If multiple endpoints were assessed, were the appropriate statistical corrections applied?
...
Adjustments made to alpha levels (e.g., Bonferroni correction) or other procedure used to account for multiple testing (e.g., false discovery rate control) should be reported.
...
more than two significant digits on p-values are usually not needed except in situations of extreme multiple testing such as in genetic association studies where stringent corrections for multiple testing might be used.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"Sufficient information should be supplied to allow readers to judge whether any assumptions necessary for the validity of statistical approaches (e.g., data are normally distributed, survival data are consistent with proportional hazards in a Cox regression model) have been verified.",TRUE,"
Data inclusion/exclusion criteria. What criteria did you apply for inclusion and exclusion of data? Were these criteria established prospectively?
...
Data pre-processing steps such as transformations, re-coding, re-scaling, normalization, truncation, and handling of below detectable level readings and outliers should be fully described; any removal or modification of data values must be fully acknowledged and justified.",TRUE,"Outliers. How were outliers defined and handled? Were they defined before the beginning of the study? Have you reported outliers that were excluded?
...
Data pre-processing steps such as transformations, re-coding, re-scaling, normalization, truncation, and handling of below detectable level readings and outliers should be fully described; any removal or modification of data values must be fully acknowledged and justified.",TRUE,"An accounting of missing data values should be provided; if imputed data values are used in statistical analyses, the methods used for imputation should be fully described.",TRUE,"The testing level (alpha) and whether one-sided or two-sided testing was used should be reported for each statistical test; typically two-sided testing is appropriate, but if one-sided testing is used its use should be justified.",TRUE,"When Bayesian analyses are conducted, any assumptions made for prior distributions must be fully described.",TRUE,"Selection of endpoints. Were the primary and secondary endpoints prospectively selected? If multiple endpoints were assessed, were the appropriate statistical corrections applied?",TRUE,"If the analysis plan was preregistered in an independent institutional registry, authors should provide a link to the registration of the analysis plan upon submission of the paper to Science Translational Medicine.
...
Rules for stopping data collection. Did you define rules for stopping data collection in advance (for example, specific intermediary and final endpoints)?
...
Data inclusion/exclusion criteria. What criteria did you apply for inclusion and exclusion of data? Were these criteria established prospectively?
...
Outliers. How were outliers defined and handled? Were they defined before the beginning of the study? Have you reported outliers that were excluded?
...
Selection of endpoints. Were the primary and secondary endpoints prospectively selected? If multiple endpoints were assessed, were the appropriate statistical corrections applied?
...
Research objectives. State the objectives of the research, clearly distinguishing pre-specified hypotheses from hypotheses suggested after initiation of the data analyses.",FALSE,NA
MM/TH,STRATEGIC MANAGEMENT JOURNAL,TRUE,FALSE,NA,TRUE,TRUE,TRUE,"SMJ no longer accepts papers for publication that report or refer to cutoff levels of statistical significance (p-values). In statistical studies, authors should report either standard errors or exact p-values (without asterisks) or both, and should interpret these values appropriately in the text. Rather than referring to specific cutoff points, the discussion could report confidence intervals, explain the standard errors and/or the probability of observing the results in the particular sample, and assess the implications for the research questions or hypotheses tested.
...
The SMJ editorial on “Creating Repeatable Cumulative Knowledge in Strategic Management” (2016, vol. 37: 257-261) provides more detailed explanation of these policies.",TRUE,"SMJ no longer accepts papers for publication that report or refer to cutoff levels of statistical significance (p-values). In statistical studies, authors should report either standard errors or exact p-values (without asterisks) or both, and should interpret these values appropriately in the text. Rather than referring to specific cutoff points, the discussion could report confidence intervals, explain the standard errors and/or the probability of observing the results in the particular sample, and assess the implications for the research questions or hypotheses tested.
...
Data Snooping and P-hacking
SMJ strongly disapproves of data snooping and p-hacking practices in empirical research. Authors of submitted papers should not search databases for statistically significant coefficients with the intention of subsequently formulating hypotheses that fit the significant coefficients. Authors also should not adapt experimental designs with the primary intention of producing statistically significant results. In addition, authors of submitted papers should address the material significance (magnitude) of the results, in addition to statistical significance.",FALSE,NA,FALSE,NA,TRUE,"Rather than referring to specific cutoff points, the discussion could report confidence intervals, explain the standard errors and/or the probability of observing the results in the particular sample, and assess the implications for the research questions or hypotheses tested.",TRUE,"SMJ also requires in papers accepted for publication that authors explicitly discuss and interpret effect sizes of relevant estimated coefficients.
In addition, authors of submitted papers should address the material significance (magnitude) of the results, in addition to statistical significance.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"[replication studies] should be conducted rigorously and assess the robustness of the non-results, such as robustness to alternative measurement, statistical specifications and estimation methodologies.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
MM/TH,Particle and Fibre Toxicology,TRUE,TRUE,"EQUATOR, SAMPL, Randomized controlled trials (CONSORT) and protocols (SPIRIT) Systematic reviews and meta-analyses (PRISMA) and protocols (PRISMA-P) Observational studies (STROBE) Case reports (CARE) Qualitative research (COREQ) Diagnostic/prognostic studies (STARD and TRIPOD) Economic evaluations (CHEERS) Pre-clinical animal studies (ARRIVE)",TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
MSH/TH,Nature Chemistry,TRUE,TRUE,"CONSORT, REMARK, Nature life sciences reporting checklist; Nature solar cells reporting; Nature lasing reporting",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MSH/TH,ADVANCED MATERIALS,TRUE,TRUE,ARRIVE; CONSORT; REMARK; BRISQ,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MSH/TH,ECOLOGICAL MONOGRAPHS,TRUE,FALSE,NA,TRUE,TRUE,TRUE,"When reporting results, actual P values are preferred. To denote levels of significance, actual P values are generally more informative than symbols such as * and **.",TRUE,"To denote levels of significance, actual P values are generally more informative than symbols such as * and **.
Effect size and biological importance must not be confused with statistical significance.",FALSE,NA,TRUE,"Power analyses (determination of type II error rates, ß) occasionally can be very useful, especially if used in conjunction with descriptive procedures like confidence intervals.",TRUE,"Reported statistics usually include the sample size and some measure of their precision (standard error [SE] or specified confidence interval [CI]) except where this would interfere with graphical clarity.
Power analyses (determination of type II error rates, ß) occasionally can be very useful, especially if used in conjunction with descriptive procedures like confidence intervals.",TRUE,Effect size and biological importance must not be confused with statistical significance.,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"It is important that the author be satisfied that the assumptions behind any statistical analysis are sufficiently met and that, at least where unusual assumptions are made, unusual procedures are used, or unusual types of data are involved, and that the reader be provided with sufficient information to judge whether any departures from assumptions are severe enough to vitiate the conclusions. The amount of detail provided in any particular instance will depend on the centrality of the statistical test to the conclusions.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
MSH/TH,JOURNAL OF NUTRITION,TRUE,TRUE,CONSORT; ARRIVE; PRISMA,TRUE,TRUE,TRUE,"Describe all statistical tests utilized and indicate the probability level (P) at which differences were considered significant. If non-significant P values are reported, use only 2 digits past the decimal (e.g., P=0.15). Present significant P values to a maximum of 4 decimal places (e.g., P<0.0001); using fewer is acceptable.",TRUE,"Describe all statistical tests utilized and indicate the probability level (P) at which differences were considered significant. Use letters or symbols to indicate significant differences. Show statistics of variability (e.g., SD, pooled SEM) and the significance of differences among the data.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"Standard ANOVA methodology assumes a homogeneous variance. If error variance is tested and found to be heterogeneous, transform data before ANOVA, or use nonparametric tests.",FALSE,NA,TRUE,"Standard ANOVA methodology assumes a homogeneous variance. If error variance is tested and found to be heterogeneous, transform data before ANOVA, or use nonparametric tests.",FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,Indicate in both the abstract and the manuscript text whether the outcomes reported are primary or secondary outcomes of the study.,TRUE,"JN strongly encourages registration in an appropriate public trials registry of all clinical trials and observational studies. Beginning in 2015, this will be required.",FALSE,NA
